-- SG    KRG    KROG   PCOG
SGOF
0.00000000 0.00000000 1.00000000 1.93529284
0.10000000 0.00000000 0.78773224 2.09549358
0.10918367 0.00103077 0.76909716 2.11228273
0.11836735 0.00291545 0.75061140 2.12948201
0.12755102 0.00535603 0.73227616 2.14710838
0.13673469 0.00824614 0.71409269 2.16517982
0.14591837 0.01152434 0.69606227 2.18371538
0.15510204 0.01514913 0.67818621 2.20273527
0.16428571 0.01909009 0.66046586 2.22226097
0.17346939 0.02332362 0.64290259 2.24231529
0.18265306 0.02783073 0.62549783 2.26292252
0.19183673 0.03259574 0.60825302 2.28410855
0.20102041 0.03760537 0.59116967 2.30590099
0.21020408 0.04284822 0.57424932 2.32832934
0.21938776 0.04831432 0.55749355 2.35142512
0.22857143 0.05399492 0.54090400 2.37522212
0.23775510 0.05988220 0.52448235 2.39975656
0.24693878 0.06596915 0.50823033 2.42506732
0.25612245 0.07224940 0.49214974 2.45119623
0.26530612 0.07871720 0.47624241 2.47818833
0.27448980 0.08536725 0.46051026 2.50609223
0.28367347 0.09219468 0.44495526 2.53496045
0.29285714 0.09919501 0.42957946 2.56484983
0.30204082 0.10636406 0.41438496 2.59582203
0.31122449 0.11369795 0.39937396 2.62794407
0.32040816 0.12119306 0.38454872 2.66128888
0.32959184 0.12884599 0.36991160 2.69593607
0.33877551 0.13665355 0.35546506 2.73197268
0.34795918 0.14461273 0.34121164 2.76949415
0.35714286 0.15272071 0.32715400 2.80860531
0.36632653 0.16097480 0.31329489 2.84942170
0.37551020 0.16937245 0.29963721 2.89207093
0.38469388 0.17791126 0.28618397 2.93669442
0.39387755 0.18658892 0.27293833 2.98344933
0.40306122 0.19540326 0.25990359 3.03251094
0.41224490 0.20435217 0.24708323 3.08407538
0.42142857 0.21343368 0.23448088 3.13836295
0.43061224 0.22264587 0.22210039 3.19562209
0.43979592 0.23198691 0.20994581 3.25613417
0.44897959 0.24145504 0.19802141 3.32021936
0.45816327 0.25104860 0.18633173 3.38824372
0.46734694 0.26076594 0.17488159 3.46062809
0.47653061 0.27060553 0.16367609 3.53785905
0.48571429 0.28056586 0.15272071 3.62050277
0.49489796 0.29064548 0.14202129 3.70922256
0.50408163 0.30084299 0.13158410 3.80480143
0.51326531 0.31115706 0.12141591 3.90817132
0.52244898 0.32158637 0.11152403 4.02045168
0.53163265 0.33212967 0.10191641 4.14300090
0.54081633 0.34278574 0.09260172 4.27748617
0.55000000 0.35355339 0.08358949 4.42598006
0.55918367 0.36443149 0.07489021 4.59109664
0.56836735 0.37541892 0.06651560 4.77618823
0.57755102 0.38651460 0.05847875 4.98563700
0.58673469 0.39771749 0.05079451 5.22530110
0.59591837 0.40902658 0.04347988 5.50322216
0.60510204 0.42044086 0.03655456 5.83079710
0.61428571 0.43195940 0.03004183 6.22482322
0.62346939 0.44358124 0.02396968 6.71130723
0.63265306 0.45530548 0.01837276 7.33317373
0.64183673 0.46713123 0.01329551 8.16768184
